entityid;route;rub;age;mois;annee;prd;abd;prf;abf;cumuld;cumulf;long;epaisseurdernierstravaux;anneedernierstravaux;naturedernierstravaux;supportdernierstravaux
000efbb3-e7c1-4b9c-a54e-1e0d6d81988a;76 D0131;20;0;7;7;0;490;3;200;490;3205;2715;1,5;2012;ES-BC;COUL
0011b2a4-5a64-4223-a856-6c9e8b6b2b48;76 D0293;20;0;7;7;6;724;6;940;6737;6953;216;1;2002;COUL;ES
0011d99f-9091-4be4-a16c-354f23b24004;76 D0003;20;0;7;7;51;708;51;810;50762;50864;102;1;1991;ES;AC
00155332-804f-4547-8537-0897d7e479e1;76 D0915;20;0;11;9;61;800;62;711;61177;62116;939;2;2000;BBUM;COUL
0016e2d9-78bb-4092-b846-90452703009a;76 D0022;20;0;7;7;86;26;86;650;86141;86765;624;1;2006;COUL;BB
003419aa-3c96-48f8-beb9-8f4eddcb857c;76 E0418D2;20;0;1;10;0;0;0;219;0;219;219;6;2008;BBSG;GB
003587bb-5f73-4991-99b4-e735899b9736;76 D0109;20;0;7;7;16;0;20;233;15955;20226;4271;4;2005;BBSP;ES
0057d94b-d85e-4d81-97c6-0cf180f12ad5;76 D0016;20;0;7;7;14;979;15;484;14923;15439;516;1;2002;COUL;COUL
005e178b-2c97-4bb7-9e7a-c8ae2295d4e1;76 D0925;20;0;7;11;12;392;14;943;12820;15435;2615;5;2004;BB;ES
00606c44-4388-4b0b-a406-b87c2e5aa63e;76 D0481;20;0;7;7;3;1328;3;1571;4363;4606;243;3;1994;BBTM;BB
00607ef4-0cc4-401f-a420-687518fa6545;76 D0108;20;0;7;7;25;1099;25;1701;26161;26763;602;1;2004;ES;ES
00646094-cabd-4c34-a713-2ecad5e79730;76 D0921;20;0;7;7;5;530;6;425;6382;7288;906;4;2011;BBM;COUL
00669025-e601-41bf-9877-fde799a53918;76 E6015B3;20;0;3;8;0;0;0;55;0;55;55;5;2005;BB;AC
006d1df8-33c9-4be4-81a2-1b8a88c67d6b;76 D0022;20;0;7;7;54;486;59;680;54493;59655;5162;3;2008;BB-REP;BBUM
00724c45-733e-4852-91bb-0efe51e547ca;76 D0022;20;0;7;7;45;552;47;684;45485;47640;2155;6;2002;BB;BBTM
00758e4c-8100-431f-9129-7227310cbe90;76 D0015;20;0;7;7;36;590;37;630;36806;37848;1042;2;2005;COUL;AC
007d0c0e-df24-4648-9d0c-8ec3c036d554;76 D0104;20;0;7;7;15;208;16;937;15249;16899;1650;2;2013;ES-MC;ES
0095b87e-657d-4f59-ad73-3a5607428902;76 D0041;20;0;11;14;7;130;7;250;7073;7193;120;8;2014;BBSG;RABOT
00b6b6cc-4214-476a-9445-b75438b5944b;76 D0203;20;0;11;14;5;920;8;92;5928;8069;2141;1,2;2014;ES-BC;BB-REP
00ce680f-d6ff-42a1-9438-e45aaeece1d0;76 D0002;20;0;7;7;7;260;8;765;7255;8770;1515;0;2001;ES;ES
00d0211f-77be-43a6-8b80-4f04e45a109a;76 D0020;20;0;10;9;27;994;28;900;28101;29077;976;4;2000;BB;COUL
00d5391e-5962-4858-ba96-5729db2c9dcf;76 D0057;20;0;7;7;2;304;2;790;2285;2771;486;6;1998;BB;ES
00fe7390-f202-43c1-9bbc-6ce1e7505b2e;76 D0033;20;0;10;13;23;615;25;20;23527;24941;1414;1;2000;COUL;COUL
010907d9-eb64-4c4d-a1e6-8c1fef311758;76 D0108;20;0;11;7;10;200;10;618;10215;10633;418;1;2007;ES;BBSP
010da08f-563e-4c72-9f98-59564564132c;76 D0351;20;0;11;11;6;530;6;710;6494;6674;180;5;2006;BB;AC
01353628-7d8a-47d4-af78-ba889b4296f8;76 D0238;20;0;7;7;6;202;6;588;6224;6610;386;1;2009;COUL;COUL
014428ba-ba9e-448a-9da0-c5e8f75b6932;76 D0253;20;0;7;7;11;613;11;747;11625;11759;134;3;2002;BBSP;ES
01462ade-7c8e-4562-b9c7-52f65154f2b6;76 D0049;20;0;7;7;19;1191;20;20;20255;20506;251;9999,99;1995;CP96;!!!!!!
0156240e-447d-4905-bff7-812b1d7739a2;76 D0015;20;0;9;13;41;870;42;290;42132;42564;432;5;1993;BB;AC
015d67af-dd22-4ae7-95eb-7012d6866452;76 D0074;20;0;7;7;0;0;0;500;0;500;500;4;2002;BB;BBUM
01665b3d-cd72-4430-9fe2-4024c300d8b7;76 D0149;20;0;7;7;33;748;34;550;33836;34640;804;3,5;2000;BB;COUL
